"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc","c5r2mtsc_std"
"0001002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,45,"DOCTORATE OR PROFESSIONAL DEGREE","SOME COLLEGE",0,0,53.5,77.5,"$50,001 TO $75,000",62500.5,0,0,60.043,0.981753324784374
"0001004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,48,"BACHELOR'S DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,56.28,0.594377509394192
"0001005C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.791,0.338151518295026
"0001010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,55,"MASTER'S DEGREE (MA, MS)","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,63.43,53.5,"$50,001 TO $75,000",62500.5,0,0,55.272,0.490610615449652
"0001011C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"BACHELOR'S DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,64.604,1.45127793121398
"0001012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,57,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,61.56,77.5,"$100,001 TO $200,000",150000.5,0,0,75.721,2.59569912167177
"0002003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,31,"SOME COLLEGE","SOME COLLEGE",0,0,NA,35.78,"$5,001 TO $10,000",7500.5,1,0,56.868,0.654908197528507
"0002004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,41,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,54.248,0.385196627950437
"0002005C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,38,46,"9TH - 12TH GRADE","8TH GRADE OR BELOW",1,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,45.572,-0.507939852072208
"0002006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,29.6,"$15,001 TO $20,000",17500.5,1,1,50.804,0.0306597403065932
