"pop","tax","licenses","income","hwy","gas","state"
1029,9,540,3571,1976,557,"ME"
771,9,441,4092,1250,404,"NH"
462,9,268,3865,1586,259,"VT"
5787,7.5,3060,4870,2351,2396,"MA"
968,8,527,4399,431,397,"RI"
3082,10,1760,5342,1333,1408,"CT"
18366,8,8278,5319,11868,6312,"NY"
7367,8,4074,5126,2138,3439,"NJ"
11926,8,6312,4447,8577,5528,"PA"
10783,7,5948,4512,8507,5375,"OH"
5291,8,2804,4391,5939,3068,"IN"
11251,7.5,5903,5126,14186,5301,"IL"
9082,7,5213,4817,6930,4768,"MI"
4520,7,2465,4207,6580,2294,"WI"
3896,7,2368,4332,8159,2204,"MN"
2883,7,1689,4318,10340,1830,"IA"
4753,7,2719,4206,8508,2865,"MO"
632,7,341,3718,4725,451,"ND"
579,7,419,4716,5915,501,"SD"
1525,8.5,1033,4341,6010,976,"NE"
2258,7,1496,4593,7834,1466,"KS"
565,8,340,4983,602,305,"DE"
4056,9,2073,4897,2449,1883,"MD"
4764,9,2463,4258,4686,2604,"VA"
1781,8.5,982,4574,2619,819,"WV"
5214,9,2835,3721,4746,2953,"NC"
2665,8,1460,3448,5399,1537,"SC"
4720,7.5,2731,3846,9061,2979,"GA"
7259,8,4084,4188,5975,4169,"FL"
3299,9,1626,3601,4650,1761,"KY"
4031,7,2088,3640,6905,2301,"TN"
3510,7,1801,3333,6594,1946,"AL"
2263,8,1309,3063,6524,1306,"MS"
1978,7.5,1081,3357,4121,1242,"AR"
3720,8,1813,3528,3495,1812,"LA"
2634,6.58,1657,3802,7834,1695,"OK"
11649,5,6595,4045,17782,7451,"TX"
719,7,421,3897,6385,506,"MT"
756,8.5,501,3635,3274,490,"ID"
345,7,232,4345,3905,334,"WY"
2357,7,1475,4449,4639,1384,"CO"
1065,7,600,3656,3985,744,"NM"
1945,7,1173,4300,3635,1230,"AZ"
1126,7,572,3745,2611,666,"UT"
527,6,354,5215,2302,412,"NV"
3443,9,1966,4476,3942,1757,"WA"
2182,7,1360,4296,4083,1331,"OR"
20468,7,12130,5002,9794,10730,"CA"
303,8,141,5162,3246,172,"AK"
801,5,519,4995,602,276,"HI"
