"GeoFips","state","X2005.Q1","X2005.Q2","X2005.Q3","X2005.Q4","gdp"
1000,"Alabama",179846.1,181876.3,181738,184023.8,727484.2
2000,"Alaska",44775.5,45197.5,44835.4,45450.3,180258.7
4000,"Arizona",255931,261074.4,266993.9,268190.2,1052189.5
5000,"Arkansas",103269.3,103956.6,104780.7,107027.6,419034.2
6000,"California",1957710.6,1974674.8,2002358.9,2020201.7,7954946
8000,"Colorado",249989.5,251443.1,253094.9,250538.8,1005066.3
9000,"Connecticut",240622.1,242116.3,241800.5,244982.3,969521.2
10000,"Delaware",59019.3,57742.5,57759.6,64766,239287.4
12000,"Florida",793779.7,800348.7,817169.1,815922.6,3227220.1
13000,"Georgia",442440.1,444455.6,445594.3,450723.6,1783213.6
15000,"Hawaii",67637.4,68157.3,68758.9,69658.3,274211.9
16000,"Idaho",54316.3,55114.8,56093.8,55998.6,221523.5
17000,"Illinois",686380.1,686430.9,690693.7,690585.7,2754090.4
18000,"Indiana",282846.2,285223.7,287013.7,287348.2,1142431.8
19000,"Iowa",143282.7,143949.7,145060.7,143327.9,575621
20000,"Kansas",121819.5,122424.3,123351.4,121707.3,489302.5
21000,"Kentucky",165864.1,168441.7,170092.5,170963.1,675361.4
22000,"Louisiana",245979.3,248901.1,244426.8,243602.8,982910
23000,"Maine",53293,53432.4,53587.8,54112.8,214426
24000,"Maryland",300756.5,303810.4,309197.3,310740,1224504.2
25000,"Massachusetts",388427,389352.8,393521,394548.5,1565849.3
26000,"Michigan",451063.6,452046.8,449223,450210.2,1802543.6
27000,"Minnesota",280008.2,280826.4,285838.1,283277.4,1129950.1
28000,"Mississippi",94242.4,94475.5,95113.9,98167.8,381999.6
29000,"Missouri",261044,262983.6,263990.8,265111.2,1053129.6
30000,"Montana",36823.5,36764.8,37082.7,37641.5,148312.5
31000,"Nebraska",87448.4,88373.8,89567,90940.2,356329.4
32000,"Nevada",135633.9,139612.3,139351.5,140588,555185.7
33000,"New Hampshire",63902.1,64326.8,64624.5,64546.7,257400.1
34000,"New Jersey",509324.6,511090.2,515745.1,516303.7,2052463.6
35000,"New Mexico",83930.8,84259.9,83411.4,83573.3,335175.4
36000,"New York",1149324.5,1161050.6,1173769.1,1186416.4,4670560.6
37000,"North Carolina",402902.9,403129,407391.8,411752,1625175.7
38000,"North Dakota",28990.4,29151.2,29142.8,29381.4,116665.8
39000,"Ohio",539674,543135.4,547260.7,546955.5,2177025.6
40000,"Oklahoma",141886.3,143532.2,143631.1,142249.8,571299.4
41000,"Oregon",156752.8,156984.9,158869.9,160867.2,633474.8
42000,"Pennsylvania",581217.3,584721.3,590529.2,592628.8,2349096.6
44000,"Rhode Island",51586.1,52298.6,52302.9,52956.6,209144.2
45000,"South Carolina",165174,166148.3,166964.5,167968.3,666255.1
46000,"South Dakota",35625.5,35556.6,35884.2,36060.3,143126.6
47000,"Tennessee",261815.9,262784.4,266278.1,267733.5,1058611.9
48000,"Texas",1131197.9,1126763.8,1130243.1,1141996.9,4530201.7
49000,"Utah",106622.8,107848.6,110102.5,112539.1,437113
50000,"Vermont",26850.5,26749,26921.6,27076.8,107597.9
51000,"Virginia",408780.2,414261,419630.7,419770.6,1662442.5
53000,"Washington",339148.1,342567.3,341892.8,348839.5,1372447.7
54000,"West Virginia",65059.6,66067.4,65520.2,65696.8,262344
55000,"Wisconsin",260063.7,261391.5,264582.7,262234.8,1048272.7
56000,"Wyoming",33009.9,33690.6,32789.9,33178.8,132669.2
