"congno","sticpsr","cd","stalpha","occup","score1","score2","year","stgj","po","dv","dvp","redist","i2","demqa","i1","demqal","nstate","dpvote","normvote","dvfix","dvpfix"
80,41,1,"ALABAMA","0",-0.101,0.279,48,1,0,NA,NA,0,1,1,1,1,"Alabama",NA,NA,NA,NA
80,41,2,"ALABAMA","0",-0.127,0.364,48,1,0,NA,NA,0,1,1,1,1,"Alabama",NA,NA,NA,NA
80,41,3,"ALABAMA","0",-0.098,0.485,48,1,0,NA,NA,0,1,1,1,1,"Alabama",NA,NA,NA,NA
80,41,4,"ALABAMA","0",-0.177,0.424,48,1,0,0.85,0.881,0,1,1,1,1,"Alabama",NA,NA,0.822,0.861
80,41,5,"ALABAMA","0",-0.256,0.281,48,1,0,NA,NA,0,1,1,1,1,"Alabama",NA,NA,NA,NA
80,41,6,"ALABAMA","0",-0.235,0.333,48,1,0,0.824,NA,0,0,1,1,1,"Alabama",NA,NA,0.824,NA
80,41,7,"ALABAMA","0",-0.15,0.379,48,1,0,NA,0.727,0,0,NA,1,1,"Alabama",NA,NA,NA,0.707
80,41,8,"ALABAMA","0",-0.3,0.32,48,1,0,0.884,0.924,0,0,1,1,1,"Alabama",NA,NA,0.884,0.904
80,41,9,"ALABAMA","0",-0.191,0.313,48,1,0,0.871,0.941,0,1,1,0,NA,"Alabama",NA,NA,0.843,0.941
80,42,1,"ARKANSA","0",0.022,0.368,48,4,0,NA,NA,1,1,1,1,1,"Arkansas",NA,NA,NA,NA
80,42,2,"ARKANSA","0",-0.151,0.392,48,4,0,NA,NA,0,1,1,1,1,"Arkansas",NA,NA,NA,NA
80,42,3,"ARKANSA","0",-0.295,0.287,48,4,0,0.686,NA,0,1,1,1,1,"Arkansas",NA,NA,0.658,NA
80,42,4,"ARKANSA","0",0.068,0.475,48,4,0,0.878,NA,0,0,1,1,1,"Arkansas",NA,NA,0.878,NA
80,42,5,"ARKANSA","0",-0.258,0.206,48,4,0,0.87,0.852,0,1,1,1,1,"Arkansas",NA,NA,0.842,0.832
80,42,6,"ARKANSA","0",-0.009,0.401,48,4,0,NA,NA,0,1,1,1,1,"Arkansas",NA,NA,NA,NA
80,42,7,"ARKANSA","0",-0.111,0.343,48,4,0,NA,NA,0,1,1,1,1,"Arkansas",NA,NA,NA,NA
80,71,1,"CALIFOR","0",-0.14,0.067,48,5,0,0.454,NA,0,0,-1,1,1,"Californ",NA,NA,0.454,NA
80,71,2,"CALIFOR","0",-0.14,-0.03,48,5,0,NA,NA,0,1,1,1,1,"Californ",NA,NA,NA,NA
80,71,3,"CALIFOR","0",0.148,-0.142,48,5,0,NA,NA,0,-1,-1,-1,-1,"Californ",NA,NA,NA,NA
80,71,4,"CALIFOR","0",-0.476,-0.221,48,5,0,0.517,0.529,0,1,1,1,1,"Californ",NA,NA,0.489,0.509
80,71,5,"CALIFOR","0",-0.123,-0.555,48,5,0,NA,NA,0,-1,-1,-1,-1,"Californ",NA,NA,NA,NA
80,71,6,"CALIFOR","0",-0.599,-0.236,48,5,0,NA,NA,0,1,1,1,1,"Californ",NA,NA,NA,NA
80,71,7,"CALIFOR","0",0.321,-0.114,48,5,0,0.486,0.438,0,-1,-1,0,-1,"Californ",NA,NA,0.514,0.438
80,71,8,"CALIFOR","0",0.308,-0.02,48,5,0,NA,NA,0,-1,-1,-1,-1,"Californ",NA,NA,NA,NA
