"rodents","unitflr","brokenwin","brokenfloor","intcracks","intleaks","personrm","bldg"
1,5,0,1,1,1,0.25,33
1,6,0,1,1,0,0.33,35
1,5,0,1,0,0,1.67,35
1,6,0,0,0,0,0.4,39
0,3,0,0,0,0,1,48
0,8,0,0,0,0,0.33,52
1,8,0,0,1,0,0.83,52
0,7,0,0,0,0,0.8,60
0,7,0,0,0,0,0.5,71
1,7,0,0,1,0,0.75,71
1,7,0,0,0,0,0.67,71
1,3,0,0,0,0,0.5,77
1,4,0,0,0,0,1,77
0,8,0,0,0,1,0.5,83
0,8,0,0,0,0,1,83
0,8,0,0,1,1,0.5,83
0,8,0,0,0,0,0.75,83
1,6,0,0,0,1,1.33,85
0,6,0,0,0,0,0.33,85
0,6,0,0,0,0,0.67,85
0,6,0,0,0,0,0.75,85
1,6,0,0,1,1,0.6,101
1,4,1,0,1,1,1.33,1390
1,3,0,0,0,0,1,121
1,4,0,0,0,0,0.25,121
0,6,0,0,0,0,0.25,130
0,6,0,0,0,0,0.4,130
1,5,0,0,0,0,0.25,130
1,2,0,0,0,0,0.75,143
1,2,0,0,1,1,0.67,147
0,2,0,0,0,0,0.33,147
1,3,0,0,1,1,3,147
0,3,0,0,0,0,0.75,167
0,4,0,0,0,0,0.33,185
1,3,0,1,0,0,1,205
0,3,0,1,0,0,0.25,205
1,3,0,1,0,0,0.25,205
1,3,0,1,1,0,0.25,205
1,4,0,0,0,0,0.67,206
0,4,0,0,0,0,0.8,215
1,4,0,0,1,0,0.4,215
1,5,0,0,0,1,1,215
0,5,0,0,0,0,1,215
1,6,0,1,0,0,1,221
0,2,1,0,1,0,0.67,1403
0,3,1,0,1,0,0.33,1403
0,2,0,0,0,0,0.6,236
0,4,0,0,0,0,1,240
1,4,0,0,0,0,1,240
0,5,0,0,0,1,1,240
1,2,0,0,1,1,1.5,268
0,3,0,0,1,1,0.67,268
1,3,0,0,0,1,0.75,268
1,3,0,0,1,1,0.33,268
0,4,0,0,1,1,1,275
0,5,0,1,1,1,0.83,277
0,5,0,1,0,1,1,277
0,2,0,0,0,0,0.33,289
0,3,0,0,1,0,1,289
1,5,1,0,1,0,1,301
1,2,0,0,1,1,0.75,306
1,4,0,0,0,1,0.5,319
1,5,0,0,0,0,1,323
1,5,0,0,0,0,1,324
1,3,0,0,0,0,0.33,347
0,6,0,0,0,0,0.25,1393
1,3,0,0,0,1,0.75,362
0,6,0,0,0,0,0.67,365
1,6,0,0,0,1,0.67,365
1,4,0,0,0,1,0.33,376
0,5,0,0,0,1,0.5,376
0,4,0,0,0,0,0.4,408
1,4,1,1,1,1,0.25,409
1,1,0,0,1,0,1.33,429
1,1,0,0,0,0,1.5,429
0,2,0,0,1,1,0.8,429
0,2,0,0,0,1,0.33,429
0,2,0,0,0,1,1,430
0,1,0,0,0,0,0.75,430
1,3,0,0,0,0,0.6,445
0,4,0,0,0,1,0.6,446
1,6,0,0,1,1,0.33,450
1,2,0,0,0,0,1.25,450
0,2,0,0,0,0,0.67,450
0,2,0,0,0,1,0.75,451
0,3,0,0,0,0,1,451
0,2,0,0,0,1,0.67,460
0,2,0,0,0,0,0.5,460
1,7,0,0,0,0,0.83,479
1,7,0,0,0,0,0.33,479
1,7,0,0,1,1,0.67,479
1,2,0,0,0,1,1.33,492
1,2,0,0,0,0,1,492
0,3,0,0,0,0,1,499
1,3,0,0,0,0,1.5,500
0,3,0,0,0,0,0.33,517
1,6,0,0,0,0,0.75,527
1,3,1,1,1,1,0.43,543
1,4,0,0,0,1,2,569
1,4,0,0,0,1,1,569
1,5,0,0,1,1,0.33,569
1,5,0,0,0,0,1,570
1,5,0,0,1,1,0.5,573
1,2,0,0,0,0,0.33,580
1,6,0,0,0,0,0.5,594
0,1,0,0,0,1,1.25,594
1,2,0,0,1,0,0.5,594
0,7,0,0,0,0,1,603
1,3,0,0,1,0,1,611
1,6,0,0,0,0,0.4,623
1,6,0,0,1,0,1,623
1,6,0,0,0,0,0.33,623
0,6,0,0,0,0,0.5,623
0,3,0,0,0,0,0.25,629
1,3,0,0,0,1,0.75,629
0,3,0,0,0,0,0.33,629
1,3,0,0,1,1,0.33,633
0,2,0,0,0,0,0.67,645
0,3,0,0,0,0,0.2,645
0,2,0,0,0,0,1.33,645
0,3,0,0,0,0,0.67,645
0,5,0,0,0,0,0.43,654
1,5,0,0,1,0,0.67,681
1,5,0,0,1,0,0.75,681
1,5,0,0,1,0,0.25,681
0,3,0,0,0,0,1,688
1,2,0,0,0,0,1.25,688
0,4,0,0,0,0,0.33,692
1,4,0,0,1,0,0.5,692
0,4,0,0,0,0,0.75,692
0,4,0,0,0,0,0.67,692
0,4,0,0,0,0,0.4,698
1,4,0,0,0,0,0.5,698
0,6,0,0,0,0,0.33,701
0,6,0,0,0,1,0.33,701
1,6,0,0,0,1,1,701
1,6,0,0,1,1,0.33,701
0,2,0,0,0,0,0.67,711
0,2,0,0,0,0,0.5,711
0,2,0,0,1,1,0.75,711
0,3,0,0,0,0,0.5,711
1,6,0,0,1,0,0.33,720
1,2,0,1,1,1,1,721
1,4,0,0,0,0,0.83,748
0,2,0,0,0,0,0.56,761
1,2,0,0,0,1,0.6,768
0,3,0,0,0,0,0.6,775
0,2,0,0,0,0,0.8,785
0,4,0,0,0,0,0.75,785
0,2,0,0,0,1,0.5,789
0,3,0,0,1,0,0.33,797
0,4,0,0,1,1,0.75,797
1,3,0,0,0,1,0.5,811
0,2,0,0,0,0,0.5,815
0,2,0,0,0,0,0.75,821
0,3,0,0,0,1,0.5,839
0,2,0,0,0,0,0.33,852
1,5,0,0,0,0,0.33,853
0,5,0,0,0,0,0.33,853
0,4,0,1,1,1,0.75,880
0,4,0,1,0,1,0.6,880
1,2,0,0,0,1,2,881
1,2,0,0,1,1,0.33,881
1,2,0,0,0,1,0.4,881
0,3,0,0,1,1,0.5,881
0,4,0,0,0,1,1.33,903
1,3,0,0,1,0,2,923
0,3,0,0,0,0,0.33,923
0,3,0,0,1,1,1.33,923
0,3,1,0,0,0,1.33,924
0,8,0,0,0,0,0.25,937
1,2,0,0,0,0,0.25,949
0,4,0,0,1,1,0.67,953
0,3,0,0,0,0,0.8,961
0,2,0,0,0,0,0.2,961
0,2,0,0,0,1,1,979
0,2,0,0,0,0,0.25,992
0,2,0,0,0,0,0.29,992
0,3,0,0,0,0,0.33,1021
0,9,0,0,0,0,0.6,1031
0,9,0,0,0,0,1,1031
0,9,0,0,0,0,0.25,1031
0,8,0,0,1,0,0.2,1040
0,7,0,0,0,0,1.2,1040
0,7,0,0,0,0,0.5,1040
0,9,0,0,0,0,0.75,1045
0,9,0,0,0,0,0.4,1045
0,8,0,0,1,0,0.75,1050
0,8,0,0,1,0,0.33,1050
0,8,0,0,0,0,1.33,1050
0,2,0,0,0,0,0.5,1055
0,3,0,0,0,0,1.25,1055
0,3,0,0,0,1,1,1058
0,3,0,0,0,0,0.25,1058
0,3,0,0,0,0,0.33,1117
0,2,0,0,0,0,1,1117
0,3,0,1,1,1,1.67,1131
1,4,0,0,0,1,0.67,1142
0,6,0,0,0,0,0.5,1159
0,3,0,0,0,0,1,1171
0,3,0,0,0,0,0.33,1171
0,4,0,0,0,1,1,1172
0,4,0,0,0,0,0.33,1172
1,5,0,0,0,1,1.33,1187
1,7,0,0,1,0,1.67,1187
0,7,0,0,0,0,1,1192
0,3,0,0,0,0,0.25,1231
1,2,0,0,1,1,0.86,1235
0,3,0,0,0,0,0.33,1241
1,3,0,0,1,1,1,1270
0,3,0,0,1,0,0.6,1271
0,2,0,0,1,1,1,1271
0,2,0,0,0,0,0.83,1273
0,5,0,0,0,1,1,1277
0,5,0,0,1,0,0.33,1277
0,5,0,0,0,1,0.33,1277
0,3,0,1,0,0,1.2,1279
0,2,0,0,1,0,0.2,1280
0,3,0,0,0,0,0.83,1280
0,2,0,0,0,0,0.8,1280
0,2,0,0,0,0,0.75,1280
0,4,0,0,0,1,0.33,1313
0,2,0,0,0,1,0.75,1313
0,3,0,0,0,0,0.5,1313
0,2,0,0,0,0,0.44,1314
1,1,1,1,1,1,1,1331
0,2,0,0,0,0,0.4,1341
